a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.12,-0.1,1.95,-0.06,0.04,0.02,reverse,
-0.1,-0.09,1.94,-0.06,0.04,0.03,reverse,
-0.12,-0.07,1.93,-0.06,0.04,0.02,reverse,
-0.09,-0.09,1.94,-0.06,0.04,0.02,reverse,
-0.12,-0.13,1.96,-0.06,0.04,0.03,reverse,
-0.1,-0.09,1.94,-0.06,0.04,0.03,reverse,
-0.1,-0.07,1.9,-0.06,0.04,0.03,reverse,
-0.09,-0.09,1.91,-0.06,0.04,0.03,reverse,
-0.12,-0.07,1.95,-0.06,0.04,0.02,reverse,
-0.11,-0.08,1.95,-0.06,0.04,0.03,reverse,
-0.11,-0.07,1.96,-0.06,0.04,0.02,reverse,
-0.09,-0.09,1.9,-0.07,0.04,0.02,reverse,
-0.11,-0.05,1.92,-0.06,0.04,0.03,reverse,
-0.1,-0.06,1.93,-0.06,0.04,0.03,reverse,
-0.1,-0.05,1.98,-0.06,0.04,0.02,reverse,
-0.1,-0.08,1.95,-0.07,0.04,0.02,reverse,
-0.13,-0.06,1.9,-0.06,0.04,0.03,reverse,
